clave_entidad,entidad,clave_municipio,municipio,cve_alcaldia,anio,periodo,grupo,poblacion,pobreza_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,ingreso_inferior_a_lpi_porcentaje
9,Ciudad de México,9006,Iztacalco,006,2015,2015-01-01,Adultos mayores (65 o más años),41989,12.13819,5.763101,22.156413
9,Ciudad de México,9007,Iztapalapa,007,2015,2015-01-01,Adultos mayores (65 o más años),158408,26.59095,2.019649,40.683375
9,Ciudad de México,9008,La Magdalena Contreras,008,2015,2015-01-01,Adultos mayores (65 o más años),24074,25.01976,2.976173,40.857535
9,Ciudad de México,9009,Milpa Alta,009,2015,2015-01-01,Adultos mayores (65 o más años),9214,40.609416,5.38102,53.219538
9,Ciudad de México,9010,Álvaro Obregón,010,2015,2015-01-01,Adultos mayores (65 o más años),74291,21.330917,1.737407,32.127099
9,Ciudad de México,9011,Tláhuac,011,2015,2015-01-01,Adultos mayores (65 o más años),27361,38.05965,2.099739,54.530458
9,Ciudad de México,9012,Tlalpan,012,2015,2015-01-01,Adultos mayores (65 o más años),63724,21.545481,1.499095,34.215317
9,Ciudad de México,9013,Xochimilco,013,2015,2015-01-01,Adultos mayores (65 o más años),35750,30.66009,3.357202,45.691174
9,Ciudad de México,9014,Benito Juárez,014,2015,2015-01-01,Adultos mayores (65 o más años),50325,,5.763101,9.157977
9,Ciudad de México,9015,Cuauhtémoc,015,2015,2015-01-01,Adultos mayores (65 o más años),54380,9.950975,5.763101,20.651298
9,Ciudad de México,9016,Miguel Hidalgo,016,2015,2015-01-01,Adultos mayores (65 o más años),38747,4.851476,5.763101,10.380053
9,Ciudad de México,9017,Venustiano Carranza,017,2015,2015-01-01,Adultos mayores (65 o más años),53642,15.385087,5.763101,31.667634
9,Ciudad de México,9002,Azcapotzalco,002,2010,2010-01-01,Adultos mayores (65 o más años),42625,17.134786,5.763101,26.935267
9,Ciudad de México,9003,Coyoacán,003,2010,2010-01-01,Adultos mayores (65 o más años),64955,12.624148,5.763101,17.841071
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2010,2010-01-01,Adultos mayores (65 o más años),10470,23.398125,5.763101,32.858253
9,Ciudad de México,9005,Gustavo A. Madero,005,2010,2010-01-01,Adultos mayores (65 o más años),113822,22.785364,1.799717,32.964091
9,Ciudad de México,9006,Iztacalco,006,2010,2010-01-01,Adultos mayores (65 o más años),36889,23.577293,5.763101,33.525563
9,Ciudad de México,9007,Iztapalapa,007,2010,2010-01-01,Adultos mayores (65 o más años),113542,29.005105,2.403365,37.228409
9,Ciudad de México,9008,La Magdalena Contreras,008,2010,2010-01-01,Adultos mayores (65 o más años),17954,,5.763101,28.620705
9,Ciudad de México,9009,Milpa Alta,009,2010,2010-01-01,Adultos mayores (65 o más años),7928,48.892427,13.483323,54.108919
9,Ciudad de México,9010,Álvaro Obregón,010,2010,2010-01-01,Adultos mayores (65 o más años),51798,19.596664,2.637396,26.088745
9,Ciudad de México,9011,Tláhuac,011,2010,2010-01-01,Adultos mayores (65 o más años),16818,38.897439,5.763101,48.920658
9,Ciudad de México,9012,Tlalpan,012,2010,2010-01-01,Adultos mayores (65 o más años),44087,19.006017,2.471422,23.664476
9,Ciudad de México,9013,Xochimilco,013,2010,2010-01-01,Adultos mayores (65 o más años),24642,31.824689,7.29462,38.686905
9,Ciudad de México,9014,Benito Juárez,014,2010,2010-01-01,Adultos mayores (65 o más años),41666,,5.763101,
9,Ciudad de México,9015,Cuauhtémoc,015,2010,2010-01-01,Adultos mayores (65 o más años),51551,12.580819,5.763101,19.042493
9,Ciudad de México,9016,Miguel Hidalgo,016,2010,2010-01-01,Adultos mayores (65 o más años),35883,9.761022,5.763101,13.467965
9,Ciudad de México,9017,Venustiano Carranza,017,2010,2010-01-01,Adultos mayores (65 o más años),41548,21.038277,2.915009,29.305506
