consulta,match,score,decision,cve_alcaldia
REY MECONETZIN,EL CENTINELA,53,no_match,003
SELVA,EL MIRADOR,40,no_match,003
TORRES DEL MAUREL,PEDREGAL DEL MAUREL,74,candidato,003
ALBA,ATLANTIDA,46,no_match,003
PRIVADA DE LA ALBORADA,DE LA CANDELARIA (PBLO),62,no_match,003
CEFIRO,EL MIRADOR,50,no_match,003
DUNA,TAXQUENA,50,no_match,003
CREPUSCULO,LOS CIPRESES,54,no_match,003
JOYAS DEL PEDREGAL,JARDINES DEL PEDREGAL,82,candidato,003
AMATENANGO,SAN MATEO (BARR),53,no_match,003
JOSE MARIA MORELOS,EL CARACOL BAJO,54,no_match,003
CRUZ DEL SUR,SANTA MARTHA DEL SUR,73,candidato,003
CALLE XICOTENCATL,COPILCO EL ALTO,50,no_match,003
PARQUE CENTENARIO,PARQUE SAN ANDRES,58,no_match,003
ARMADA DE MEXICO,DEL NINO JESUS (BARR),48,no_match,003
LORETO Y CAMPAMENTO,LAS CAMPANAS,51,no_match,003
CALIZ,CHIMALISTAC,50,no_match,003
ROMULO VALDEZ ROMERO,BARRIO OXTOPULCO UNIVERSIDAD,50,no_match,003
MIGUEL OLIVARES,LOS OLIVOS (U HAB),48,no_match,003
CERRO DE LA SILLA,DE LA CANDELARIA (PBLO),55,no_match,003
GEYSER SUR,SANTA MARTHA DEL SUR,46,no_match,003
AVENIDA UNIVERSIDAD,COPILCO UNIVERSIDAD I,73,candidato,003
CALLE TEPEXPAN,CARMEN SERDAN,51,no_match,003
REY HUEMAN,EL RELOJ,44,no_match,003
CUICATLAN,ATLANTIDA,55,no_match,003
BASALTO,ESPARTACO,50,no_match,003
AVENIDA EL BORDO,RANCHO EL ROSARIO,54,no_match,003
TEPEHUANES,EDUCACION,42,no_match,003
CALLE SAN JULIO,SANTA CECILIA I,53,no_match,003
OCASO,OLIMPICA,46,no_match,003
CENTEOTL,EL CENTINELA,60,no_match,003
AHUANUSCO,AJUSCO I,58,no_match,003
PASEO DEL RIO,RANCHO EL ROSARIO,60,no_match,003
ABASOLO,LAS CABANAS,55,no_match,003
MANUELA SAENZ,NUEVA DIAZ ORDAZ,55,no_match,003
AVENIDA MIGUEL HIDALGO,CANTIL DEL PEDREGAL,43,no_match,003
CALZADA CANDELARIA,AMPLIACION CANDELARIA,71,candidato,003
